@relation measurement


@attribute derTempIn2P numeric
@attribute derTempIn3P numeric
@attribute derHumIn2P numeric
@attribute derHumIn3P numeric
@attribute derTempOut2P numeric
@attribute derTempOut3P numeric
@attribute derHumOut2P numeric
@attribute derHumOut3P numeric
@attribute class {c0,c1}

@data

-0.4275,-0.18,0.2675,0.2125,0.02,0.01,0.04,0.06,c0
0.235,-0.0963,0.3175,0.2925,0.0,0.01,0.03,0.035,c0
0.0117,0.1233,0.3125,0.315,-0.05,-0.025,0.05,0.04,c0
-0.5792,-0.2837,-0.3875,-0.0375,0.0,-0.025,0.04,0.045,c1
-0.7042,-0.6417,0.0975,-0.145,0.0,0.0,0.06,0.05,c1
-0.4558,-0.58,0.4025,0.25,0.03,0.015,-0.03,0.015,c1
-0.2008,-0.3283,0.09,0.2463,-0.03,0.0,0.03,0.0,c1
-0.1142,-0.1575,0.0175,0.0538,0.0,-0.015,-0.35,-0.16,c1
-0.2558,-0.185,0.1225,0.07,0.0,0.0,0.03,-0.16,c1
0.1358,-0.06,-0.0125,0.055,0.0,0.0,0.07,0.05,c1
0.1642,0.15,0.2875,0.1375,0.0,0.0,-0.05,0.01,c1
-0.2692,-0.0525,-0.0275,0.13,0.03,0.015,0.01,-0.02,c1
0.0592,-0.105,-0.3,-0.1638,-0.05,-0.01,0.11,0.06,c1
0.2083,0.1338,0.2275,-0.0362,0.05,0.0,0.08,0.095,c1
-0.1617,0.0233,0.16,0.1938,0.0,0.025,0.0,0.04,c1
-0.4808,-0.3213,-0.1675,-0.0037,-0.05,-0.025,0.04,0.02,c1
0.1008,-0.19,-0.3325,-0.25,0.02,-0.015,-0.01,0.015,c1
-0.1608,-0.03,0.2375,-0.0475,0.03,0.025,0.03,0.01,c1
-0.2175,-0.1892,-0.225,0.0063,-0.03,0.0,0.08,0.055,c1
0.115,-0.0512,0.4225,0.0987,0.0,-0.015,-0.07,0.005,c1
-0.04,0.0375,0.525,0.4737,0.0,0.0,0.11,0.02,c1
-0.3833,-0.24,0.0075,0.0525,-0.07,0.0,0.03,0.015,c0
-0.2717,-0.3275,0.41,0.2087,0.02,-0.025,0.03,0.03,c0
-0.8017,-0.5367,-0.13,0.14,0.0,0.01,-0.03,0.0,c0
-0.6458,-0.7238,-0.2,-0.165,0.0,0.0,0.0,-0.015,c1
0.4025,-0.1217,0.4275,0.1137,0.02,0.01,0.11,0.055,c1
0.14,0.2713,0.2175,0.3225,-0.02,0.0,-0.02,0.045,c1
-0.4,-0.13,0.3575,0.2875,-0.02,-0.02,0.03,0.005,c1
-0.3075,-0.3538,-0.2375,0.06,0.02,0.0,0.1,0.065,c1
0.6325,0.1625,-0.225,-0.2313,-0.02,0.0,0.06,0.08,c1
3.823,2.2278,0.2175,-0.0037,0.04,0.01,0.01,0.035,c0
0.7887,2.3058,0.1975,0.2075,-0.02,0.01,0.03,0.02,c0
-0.3767,0.206,-0.0525,0.0725,0.02,0.0,-0.04,-0.005,c0
-0.2267,-0.3017,0.0475,-0.0025,0.0,0.01,0.09,0.025,c0
-0.1008,-0.1638,-0.1575,-0.055,-0.04,-0.02,0.03,0.06,c0
0.1842,0.0417,0.0525,-0.0525,0.04,0.0,-0.43,-0.2,c0
-0.0367,0.0738,-0.385,-0.1663,0.0,0.02,0.03,-0.2,c0
0.0967,0.03,0.0925,-0.1462,0.0,0.0,0.05,0.04,c0
0.2733,0.185,-0.2825,-0.095,0.03,0.015,-0.05,0.0,c0
0.26,0.2667,0.17,-0.0562,-0.05,-0.01,0.09,0.02,c0
-0.3675,-0.0538,0.3225,0.2462,-0.04,-0.045,0.02,0.055,c0
0.1075,-0.13,0.105,0.2137,0.04,0.0,0.0,0.01,c0
0.1825,0.145,-0.2175,-0.0562,0.0,0.02,0.03,0.015,c0
0.3075,0.245,0.2425,0.0125,-0.02,-0.01,-0.05,-0.01,c0
0.1575,0.2325,-0.0825,0.08,0.0,-0.01,0.08,0.015,c0
0.1592,0.1583,0.5433,0.2304,0.0,0.0,0.06,0.07,c0
0.1908,0.175,-0.2958,0.1238,0.04,0.02,-0.06,0.0,c0
-0.5408,-0.175,-0.2308,-0.2633,-0.04,0.0,0.11,0.025,c0
0.1058,-0.2175,0.2758,0.0225,0.04,0.0,-0.05,0.03,c0
0.1942,0.15,-0.2875,-0.0058,-0.02,0.01,0.05,0.0,c0
0.0358,0.115,0.1975,-0.045,-0.02,-0.02,0.03,0.04,c0
