timestamp,temp_in,hum_in,temp_out,hum_out,open_close
1523073600,16.910000,32.341110,20.910000,38.410000,0
1523073660,17.320000,32.610001,20.930000,38.389999,0
1523073720,16.916666,31.059999,20.930000,38.450001,0
1523073780,16.820000,34.869999,20.930000,38.480000,0
1523073840,17.410000,38.524002,20.930000,38.509998,0
1523073900,16.884998,35.105003,20.930000,38.590000,0
1523073960,17.043333,38.445000,20.930000,38.669998,0
1523074020,16.889999,32.342499,20.969999,38.790001,0
1523074080,16.959999,36.349998,20.969999,38.930000,0
1523074140,17.230000,38.907776,20.969999,38.509998,0
1523074200,17.270000,34.724998,20.950001,38.590000,0
1523074320,17.139999,35.445000,20.969999,38.669998,0
1523074380,17.369999,38.630001,21.000000,38.759998,0
1523074440,17.219999,37.680000,20.969999,38.799999,0
1523074500,17.266666,35.458000,20.950001,38.910000,0
1523074560,17.357500,37.580715,20.969999,39.029999,0
1523074620,17.403334,35.884998,20.969999,39.119999,0
1523074680,17.210001,35.207500,21.000000,39.250000,0
1523074740,17.136667,31.956667,21.000000,39.279999,0
1523074800,17.172501,34.650002,21.000000,38.990002,0
1523074860,17.343334,37.650002,21.000000,39.080002,0
1523074920,17.490000,39.758331,20.969999,39.189999,0
1523074980,17.463333,34.813332,21.000000,39.279999,0
1523075040,17.475000,35.923332,21.020000,39.349998,0
1523075100,17.530001,36.607498,21.000000,39.450001,0
1523075160,17.595001,37.457500,21.000000,39.509998,0
1523075220,17.490000,37.910000,21.000000,39.580002,0
1523075280,17.540001,38.040001,20.969999,39.599998,0
1523075340,17.516666,38.810001,21.000000,39.599998,0
1523075400,17.477501,39.230000,21.000000,39.669998,0
1523075460,17.603333,39.637501,21.020000,39.660000,0
1523075520,17.674999,39.953335,20.969999,39.660000,0
1523075580,17.650000,40.493332,20.969999,39.660000,0
1523075640,17.602501,40.840000,21.020000,39.660000,0
1523075700,17.799999,41.270000,20.969999,39.630001,0
1523075760,17.900000,45.046875,21.020000,39.720001,0
1523075820,17.904999,37.772499,21.000000,39.720001,0
1523075880,18.016666,36.544998,21.040001,39.750000,0
1523075940,17.879999,37.165001,21.020000,39.770000,0
1523076000,18.037498,37.485001,21.000000,39.750000,0
1523076060,17.510000,37.904999,21.020000,39.750000,0
1523076120,17.560001,37.580002,20.969999,39.810001,0
1523076180,17.520000,37.700001,21.020000,39.840000,0
1523076300,17.900000,37.309998,20.969999,39.830002,0
1523076360,17.800001,36.770000,20.969999,39.869999,0
1523076420,17.945000,36.660000,21.000000,39.490002,0
1523076480,18.136667,38.384445,21.000000,39.520000,0
1523076540,17.562500,36.143333,21.000000,39.549999,0
1523076600,17.573334,37.866669,21.000000,39.740002,0
1523076660,17.605000,38.857498,21.000000,39.720001,0
1523076720,17.623333,39.384998,21.000000,39.779999,0
1523076780,17.593332,40.112503,21.000000,39.889999,0
1523076840,17.613333,40.587502,21.020000,40.009998,0
1523076900,17.812500,40.895000,20.969999,40.070000,0
